"RACEID","YEAR","ROUND","NAME","F1DATE","TIME","URL","SCORE","DNF_COUNT","DNF_DUE_TO_ACCIDENT_COUNT","WEATHER","WEATHER_WET","CIRCUITREF","YEAR_C","RACE_COUNT","NAME_YEAR","OVERTAKEN_POSITIONS_TOTAL","LAPS_WITH_CHANGE_POS_1","LAPS_WITH_CHANGE_POS_1_5","OVERTAKEN_POSITIONS_DUE_TO_PITSTOP_TOTAL","OVERTAKEN_POSITIONS_REAL_TOTAL","MAX_COMEBACKSCORE","RANK_VERSUS_POSITION","SAFETY_CAR",
942,2015,16,"United States Grand Prix",2015-10-25 00:00:00,"19:00:00","https://en.wikipedia.org/wiki/2015_United_States_Grand_Prix",9.1,8,2,"Very cloudy170C (630F) air temperature17ֲ00C (63ֶ80F) track temperature8-/s (26&t/s) wind from the south[2]","N","americas","2015",1,"2015 United States Grand Prix",131,5,23,18,113,14,14,1,
943,2015,17,"Mexican Grand Prix",2015-11-01 00:00:00,"19:00:00","https://en.wikipedia.org/wiki/2015_Mexican_Grand_Prix",5.44,4,2,"Partly cloudy22ֲ40C (72ַ50F) air temperature48ֵ60C (118ֱ330F) track temperature1.5-/s (4.9&t/s) wind from the northwest[2]","N","rodriguez","2015",1,"2015 Mexican Grand Prix",114,4,11,10,104,13,11,1,
944,2015,18,"Brazilian Grand Prix",2015-11-15 00:00:00,"16:00:00","https://en.wikipedia.org/wiki/2015_Brazilian_Grand_Prix",4.57,2,0,"Dry22ֲ80C (72ָ20F) air temperature38ִ80C (100ֱ180F) track temperature2.5-/s (8.2&t/s) wind from the north[2]","N","interlagos","2015",1,"2015 Brazilian Grand Prix",198,6,9,42,156,10,4,0,
945,2015,19,"Abu Dhabi Grand Prix",2015-11-29 00:00:00,"13:00:00","https://en.wikipedia.org/wiki/2015_Abu_Dhabi_Grand_Prix",5.25,1,1,"Clear25ֲ70C (77ָ10F) air temperature28ֲ90C (82ָ40F) track temperature1.5-/s (4.9&t/s) wind from the south[3]","N","yas_marina","2015",1,"2015 Abu Dhabi Grand Prix",174,4,18,26,148,10,9,0,
948,2016,1,"Australian Grand Prix",2016-03-20 00:00:00,"5:00:00","https://en.wikipedia.org/wiki/2016_Australian_Grand_Prix",7.76,6,2,"Partly cloudy22ֲ30C (72ַ30F) air temperature26ֳ60C (79ֹ70F) track temperature4-/s (8.9-ph; 14+m/h) wind from the south[4]","N","albert_park","2016",1,"2016 Australian Grand Prix",145,3,11,108,37,15,0,1,
949,2016,2,"Bahrain Grand Prix",2016-04-03 00:00:00,"15:00:00","https://en.wikipedia.org/wiki/2016_Bahrain_Grand_Prix",7.38,5,0,"Dry21ֲ20C (70ַ20F) air temperature26ֲ90C (79ָ40F) track temperature2-/s (6.6&t/s) wind from the southwest[4]","N","bahrain","2016",1,"2016 Bahrain Grand Prix",292,2,24,61,231,13,18,0,
950,2016,3,"Chinese Grand Prix",2016-04-17 00:00:00,"6:00:00","https://en.wikipedia.org/wiki/2016_Chinese_Grand_Prix",7.85,0,0,"Sunny210C (700F) air temperature370C (990F) track temperature4.8-/s (16&t/s) wind from the northeast[4]","N","shanghai","2016",1,"2016 Chinese Grand Prix",422,1,28,81,341,18,13,1,
951,2016,4,"Russian Grand Prix",2016-05-01 00:00:00,"12:00:00","https://en.wikipedia.org/wiki/2016_Russian_Grand_Prix",5.4,4,3,"Partly cloudy160C (610F) air temperature37ִ10C (99ֱ060F) track temperature2.5-/s (8.2&t/s) wind from the southwest[4]","N","sochi","2016",1,"2016 Russian Grand Prix",117,0,10,26,91,12,9,1,
952,2016,5,"Spanish Grand Prix",2016-05-15 00:00:00,"12:00:00","https://en.wikipedia.org/wiki/2016_Spanish_Grand_Prix",8.71,5,2,"Partly cloudy20ֲ20C (68ַ20F) air temperature39ִ10C (102ֱ060F) track temperature2-/s (6.6&t/s) wind from the north[4]","N","catalunya","2016",1,"2016 Spanish Grand Prix",248,7,16,39,209,14,16,1,
953,2016,6,"Monaco Grand Prix",2016-05-29 00:00:00,"12:00:00","https://en.wikipedia.org/wiki/2016_Monaco_Grand_Prix",7.75,7,5,"Rainy at start, dry later17ֱ80C (63ֶ40F) air temperature20ֲ20C (68ַ20F) track temperature2-/s (6.6&t/s) wind from the north[4]","Y","monaco","2016",1,"2016 Monaco Grand Prix",144,3,11,102,42,11,22,1,
954,2016,7,"Canadian Grand Prix",2016-06-12 00:00:00,"18:00:00","https://en.wikipedia.org/wiki/2016_Canadian_Grand_Prix",6.58,3,0,"Cloudy120C (540F) air temperature21ֲ30C (70ַ30F) track temperature2.5-/s (8.2&t/s) wind from the southeast[4]","N","villeneuve","2016",1,"2016 Canadian Grand Prix",119,3,15,84,35,11,15,1,
955,2016,8,"European Grand Prix",2016-06-19 00:00:00,"13:00:00","https://en.wikipedia.org/wiki/2016_European_Grand_Prix",4.73,4,0,"Partly cloudy30ֳ30C (86ֹ10F) air temperature39ִ50C (102ֱ130F) track temperature2.5-/s (8.2&t/s) wind from the southeast[4]","N","BAK","2016",1,"2016 European Grand Prix",244,0,14,78,166,13,11,0,
956,2016,9,"Austrian Grand Prix",2016-07-03 00:00:00,"12:00:00","https://en.wikipedia.org/wiki/2016_Austrian_Grand_Prix",8.1,6,0,"Cloudy","N","red_bull_ring","2016",1,"2016 Austrian Grand Prix",300,6,17,75,225,13,9,1,
957,2016,10,"British Grand Prix",2016-07-10 00:00:00,"12:00:00","https://en.wikipedia.org/wiki/2016_British_Grand_Prix",6.48,6,2,"Wet at start, dry later","Y","silverstone","2016",1,"2016 British Grand Prix",241,2,10,2,239,16,9,1,
958,2016,11,"Hungarian Grand Prix",2016-07-24 00:00:00,"12:00:00","https://en.wikipedia.org/wiki/2016_Hungarian_Grand_Prix",5.05,1,0,"Sunny","N","hungaroring","2016",1,"2016 Hungarian Grand Prix",166,4,11,24,142,10,5,0,
959,2016,12,"German Grand Prix",2016-07-31 00:00:00,"12:00:00","https://en.wikipedia.org/wiki/2016_German_Grand_Prix",5.81,2,0,"Partially cloudy and dry","N","hockenheimring","2016",1,"2016 German Grand Prix",228,0,17,50,178,13,6,0,
960,2016,13,"Belgian Grand Prix",2016-08-28 00:00:00,"12:00:00","https://en.wikipedia.org/wiki/2016_Belgian_Grand_Prix",7.25,5,1,"Partially cloudy and dry","N","spa","2016",1,"2016 Belgian Grand Prix",147,0,15,18,129,14,13,1,
962,2016,15,"Singapore Grand Prix",2016-09-18 00:00:00,"12:00:00","https://en.wikipedia.org/wiki/2016_Singapore_Grand_Prix",7.11,4,1,"Clear300C (860F) air temperature34ֳ50C (93ֹ50F) track temperature1.5-/s (4.9&t/s) wind from the east[2]","N","marina_bay","2016",1,"2016 Singapore Grand Prix",221,4,14,67,154,15,6,1,
963,2016,16,"Malaysian Grand Prix",2016-10-02 00:00:00,"7:00:00","https://en.wikipedia.org/wiki/2016_Malaysian_Grand_Prix",8.01,6,1,"Sunny330C (910F) air temperature490C (1200F) track temperature2.8-/s (9.2&t/s) wind from the west[2]","N","sepang","2016",1,"2016 Malaysian Grand Prix",137,4,10,14,123,14,11,1,
964,2016,17,"Japanese Grand Prix",2016-10-09 00:00:00,"5:00:00","https://en.wikipedia.org/wiki/2016_Japanese_Grand_Prix",6.98,0,0,"Cloudy","N","suzuka","2016",1,"2016 Japanese Grand Prix",227,2,14,30,197,10,7,0,
965,2016,18,"United States Grand Prix",2016-10-23 00:00:00,"19:00:00","https://en.wikipedia.org/wiki/2016_United_States_Grand_Prix",6.04,4,1,"Sunny and hot with temperatures reaching up to 840F (290C); wind speeds approaching speeds of 9.2 miles per hour (14.8+m/h)[2]","N","americas","2016",1,"2016 United States Grand Prix",168,2,12,14,154,9,10,1,
966,2016,19,"Mexican Grand Prix",2016-10-30 00:00:00,"19:00:00","https://en.wikipedia.org/wiki/2016_Mexican_Grand_Prix",5.94,1,1,"Sunny","N","rodriguez","2016",1,"2016 Mexican Grand Prix",151,3,14,25,126,13,5,1,
967,2016,20,"Brazilian Grand Prix",2016-11-13 00:00:00,"16:00:00","https://en.wikipedia.org/wiki/2016_Brazilian_Grand_Prix",7.94,6,3,"Rain and 160C (60.80F)","Y","interlagos","2016",1,"2016 Brazilian Grand Prix",205,0,16,49,156,14,9,1,
968,2016,21,"Abu Dhabi Grand Prix",2016-11-27 00:00:00,"13:00:00","https://en.wikipedia.org/wiki/2016_Abu_Dhabi_Grand_Prix",7.59,5,0,"Sunny","N","yas_marina","2016",1,"2016 Abu Dhabi Grand Prix",186,6,17,22,164,17,6,0,
969,2017,1,"Australian Grand Prix",2017-03-26 00:00:00,"5:00:00","https://en.wikipedia.org/wiki/2017_Australian_Grand_Prix",6.41,7,0,"Partly cloudy240C (750F) air temperature31ֳ60C (88ֹ70F) track temperature2-/s (4.5-ph; 7.2+m/h) wind from the northwest[3]","N","albert_park","2017",1,"2017 Australian Grand Prix",35,4,6,26,9,5,10,0,
970,2017,2,"Chinese Grand Prix",2017-04-09 00:00:00,"6:00:00","https://en.wikipedia.org/wiki/2017_Chinese_Grand_Prix",7.53,5,2,"Light rain at start, drying later.","Y","shanghai","2017",1,"2017 Chinese Grand Prix",115,0,16,22,93,13,18,1,
971,2017,3,"Bahrain Grand Prix",2017-04-16 00:00:00,"15:00:00","https://en.wikipedia.org/wiki/2017_Bahrain_Grand_Prix",7.96,7,2,"not found","N","bahrain","2017",1,"2017 Bahrain Grand Prix",117,3,17,16,101,11,3,1,
972,2017,4,"Russian Grand Prix",2017-04-30 00:00:00,"12:00:00","https://en.wikipedia.org/wiki/2017_Russian_Grand_Prix",4.9,4,2,"not found","N","sochi","2017",1,"2017 Russian Grand Prix",46,2,5,10,36,5,6,1,
973,2017,5,"Spanish Grand Prix",2017-05-14 00:00:00,"12:00:00","https://en.wikipedia.org/wiki/2017_Spanish_Grand_Prix",7.87,4,1,"not found","N","catalunya","2017",1,"2017 Spanish Grand Prix",86,4,11,12,74,8,13,1,
974,2017,6,"Monaco Grand Prix",2017-05-28 00:00:00,"12:00:00","https://en.wikipedia.org/wiki/2017_Monaco_Grand_Prix",4.94,7,3,"not found","N","monaco","2017",1,"2017 Monaco Grand Prix",56,1,5,51,5,7,6,1,
975,2017,7,"Canadian Grand Prix",2017-06-11 00:00:00,"18:00:00","https://en.wikipedia.org/wiki/2017_Canadian_Grand_Prix",7.55,5,2,"Sunny and hot with temperatures reaching up to 290C (840F); wind speeds reaching 12.9 kilometres per hour (8.0-ph)[4]","N","villeneuve","2017",1,"2017 Canadian Grand Prix",99,0,13,61,38,14,9,1,
976,2017,8,"Azerbaijan Grand Prix",2017-06-25 00:00:00,"13:00:00","https://en.wikipedia.org/wiki/2017_Azerbaijan_Grand_Prix",8.79,7,1,"Sunny","N","BAK","2017",1,"2017 Azerbaijan Grand Prix",136,2,19,55,81,18,24,1,
977,2017,9,"Austrian Grand Prix",2017-07-09 00:00:00,"12:00:00","https://en.wikipedia.org/wiki/2017_Austrian_Grand_Prix",5.82,4,0,"Partly cloudy","N","red_bull_ring","2017",1,"2017 Austrian Grand Prix",49,2,7,8,41,5,6,0,
978,2017,10,"British Grand Prix",2017-07-16 00:00:00,"12:00:00","https://en.wikipedia.org/wiki/2017_British_Grand_Prix",6.63,3,0,"Overcast","N","silverstone","2017",1,"2017 British Grand Prix",116,0,10,5,111,13,8,1,
979,2017,11,"Hungarian Grand Prix",2017-07-30 00:00:00,"12:00:00","https://en.wikipedia.org/wiki/2017_Hungarian_Grand_Prix",5.94,4,1,"Sunny","N","hungaroring","2017",1,"2017 Hungarian Grand Prix",63,3,8,8,55,6,6,1,
980,2017,12,"Belgian Grand Prix",2017-08-27 00:00:00,"12:00:00","https://en.wikipedia.org/wiki/2017_Belgian_Grand_Prix",6.73,4,1,"Partially cloudy and dry","N","spa","2017",1,"2017 Belgian Grand Prix",133,2,10,33,100,9,6,1,
981,2017,13,"Italian Grand Prix",2017-09-03 00:00:00,"12:00:00","https://en.wikipedia.org/wiki/2017_Italian_Grand_Prix",5.93,4,0,"Sunny","N","monza","2017",1,"2017 Italian Grand Prix",132,2,13,37,95,12,4,0,
982,2017,14,"Singapore Grand Prix",2017-09-17 00:00:00,"12:00:00","https://en.wikipedia.org/wiki/2017_Singapore_Grand_Prix",6.41,8,5,"Wet at start, then drying. Air temperature: 28Ѓ (82І)","Y","marina_bay","2017",1,"2017 Singapore Grand Prix",72,0,9,16,56,6,9,1,
984,2017,16,"Japanese Grand Prix",2017-10-08 00:00:00,"5:00:00","https://en.wikipedia.org/wiki/2017_Japanese_Grand_Prix",6.13,5,2,"Sunny","N","suzuka","2017",1,"2017 Japanese Grand Prix",100,3,12,16,84,11,6,1,
985,2017,17,"United States Grand Prix",2017-10-22 00:00:00,"19:00:00","https://en.wikipedia.org/wiki/2017_United_States_Grand_Prix",7.78,4,1,"Sunny with temperatures reaching up to 82.90F (28.30C); wind speeds approaching speeds of 13.8 miles per hour (22.2+m/h)[4]","N","americas","2017",1,"2017 United States Grand Prix",120,4,13,1,119,12,6,0,
986,2017,18,"Mexican Grand Prix",2017-10-29 00:00:00,"19:00:00","https://en.wikipedia.org/wiki/2017_Mexican_Grand_Prix",6.85,5,0,"Sunny, dry","N","rodriguez","2017",1,"2017 Mexican Grand Prix",100,0,7,22,78,15,13,1,
987,2017,19,"Brazilian Grand Prix",2017-11-12 00:00:00,"16:00:00","https://en.wikipedia.org/wiki/2017_Brazilian_Grand_Prix",6.74,4,3,"not found","N","interlagos","2017",1,"2017 Brazilian Grand Prix",91,3,10,15,76,15,8,1,
988,2017,20,"Abu Dhabi Grand Prix",2017-11-26 00:00:00,"13:00:00","https://en.wikipedia.org/wiki/2017_Abu_Dhabi_Grand_Prix",3.74,2,0,"Clear","N","yas_marina","2017",1,"2017 Abu Dhabi Grand Prix",79,2,5,3,76,8,6,0,
989,2018,1,"Australian Grand Prix",2018-03-25 00:00:00,"5:10:00","https://en.wikipedia.org/wiki/2018_Australian_Grand_Prix",6.1,5,0,"Sunny","N","albert_park","2018",1,"2018 Australian Grand Prix",49,1,7,38,11,8,14,1,
990,2018,2,"Bahrain Grand Prix",2018-04-08 00:00:00,"15:10:00","https://en.wikipedia.org/wiki/2018_Bahrain_Grand_Prix",8.32,3,0,"not found","N","bahrain","2018",1,"2018 Bahrain Grand Prix",198,3,14,33,165,10,33,1,
992,2018,4,"Azerbaijan Grand Prix",2018-04-29 00:00:00,"12:10:00","https://en.wikipedia.org/wiki/2018_Azerbaijan_Grand_Prix",8.54,7,6,"Cloudy","N","BAK","2018",1,"2018 Azerbaijan Grand Prix",92,2,12,18,74,12,26,1,
993,2018,5,"Spanish Grand Prix",2018-05-13 00:00:00,"13:10:00","https://en.wikipedia.org/wiki/2018_Spanish_Grand_Prix",4.81,6,3,"Partially cloudy and dry, 16Ѓ and cold.","N","catalunya","2018",1,"2018 Spanish Grand Prix",94,2,9,15,79,9,9,1,
994,2018,6,"Monaco Grand Prix",2018-05-27 00:00:00,"13:10:00","https://en.wikipedia.org/wiki/2018_Monaco_Grand_Prix",5.09,3,2,"not found","N","monaco","2018",1,"2018 Monaco Grand Prix",81,0,5,74,7,9,8,1,
995,2018,7,"Canadian Grand Prix",2018-06-10 00:00:00,"18:10:00","https://en.wikipedia.org/wiki/2018_Canadian_Grand_Prix",4.24,3,2,"Temperatures reaching up to 22.70C (72.90F); with wind speeds reaching 11.1 kilometres per hour (6.9-ph)[2]","N","villeneuve","2018",1,"2018 Canadian Grand Prix",79,0,5,59,20,9,11,1,
996,2018,8,"French Grand Prix",2018-06-24 00:00:00,"14:10:00","https://en.wikipedia.org/wiki/2018_French_Grand_Prix",6.37,5,2,"Partially cloudy, warm and dry","N","ricard","2018",1,"2018 French Grand Prix",110,2,11,62,48,13,11,1,
997,2018,9,"Austrian Grand Prix",2018-07-01 00:00:00,"13:10:00","https://en.wikipedia.org/wiki/2018_Austrian_Grand_Prix",8.12,6,0,"Sunny","N","red_bull_ring","2018",1,"2018 Austrian Grand Prix",84,1,8,9,75,11,29,1,
998,2018,10,"British Grand Prix",2018-07-08 00:00:00,"13:10:00","https://en.wikipedia.org/wiki/2018_British_Grand_Prix",8.65,6,3,"Sunny 27.00C (80.60F)[2]","N","silverstone","2018",1,"2018 British Grand Prix",124,4,14,0,124,15,3,1,
999,2018,11,"German Grand Prix",2018-07-22 00:00:00,"13:10:00","https://en.wikipedia.org/wiki/2018_German_Grand_Prix",8.14,5,1,"Overcast with intermittent rain","Y","hockenheimring","2018",1,"2018 German Grand Prix",171,5,12,26,145,13,8,1,
1000,2018,12,"Hungarian Grand Prix",2018-07-29 00:00:00,"13:10:00","https://en.wikipedia.org/wiki/2018_Hungarian_Grand_Prix",6.06,3,0,"not found","N","hungaroring","2018",1,"2018 Hungarian Grand Prix",67,2,13,5,62,12,2,1,
1001,2018,13,"Belgian Grand Prix",2018-08-26 00:00:00,"13:10:00","https://en.wikipedia.org/wiki/2018_Belgian_Grand_Prix",5.31,5,3,"not found","N","spa","2018",1,"2018 Belgian Grand Prix",55,0,9,10,45,12,10,1,
1002,2018,14,"Italian Grand Prix",2018-09-02 00:00:00,"13:10:00","https://en.wikipedia.org/wiki/2018_Italian_Grand_Prix",8.31,4,0,"not found","N","monza","2018",1,"2018 Italian Grand Prix",100,4,12,21,79,14,4,1,
1003,2018,15,"Singapore Grand Prix",2018-09-16 00:00:00,"12:10:00","https://en.wikipedia.org/wiki/2018_Singapore_Grand_Prix",4.98,1,1,"not found","N","marina_bay","2018",1,"2018 Singapore Grand Prix",105,4,9,39,66,8,6,1,
1004,2018,16,"Russian Grand Prix",2018-09-30 00:00:00,"11:10:00","https://en.wikipedia.org/wiki/2018_Russian_Grand_Prix",4.8,2,0,"not found","N","sochi","2018",1,"2018 Russian Grand Prix",98,4,11,20,78,12,4,0,
1005,2018,17,"Japanese Grand Prix",2018-10-07 00:00:00,"5:10:00","https://en.wikipedia.org/wiki/2018_Japanese_Grand_Prix",6.77,3,0,"not found","N","suzuka","2018",1,"2018 Japanese Grand Prix",158,0,6,20,138,13,6,1,
1006,2018,18,"United States Grand Prix",2018-10-21 00:00:00,"18:10:00","https://en.wikipedia.org/wiki/2018_United_States_Grand_Prix",8.76,6,1,"not found","N","americas","2018",1,"2018 United States Grand Prix",91,4,14,3,88,13,12,1,
1007,2018,19,"Mexican Grand Prix",2018-10-28 00:00:00,"19:10:00","https://en.wikipedia.org/wiki/2018_Mexican_Grand_Prix",6.72,4,0,"not found","N","rodriguez","2018",1,"2018 Mexican Grand Prix",136,2,13,22,114,11,8,1,
1009,2018,21,"Abu Dhabi Grand Prix",2018-11-25 00:00:00,"13:10:00","https://en.wikipedia.org/wiki/2018_Abu_Dhabi_Grand_Prix",6.58,5,1,"not found","N","yas_marina","2018",1,"2018 Abu Dhabi Grand Prix",107,3,10,7,100,9,5,1,
1010,2019,1,"Australian Grand Prix",2019-03-17 00:00:00,"5:10:00","https://en.wikipedia.org/wiki/2019_Australian_Grand_Prix",6.3,3,1,"not found","N","albert_park","2019",1,"2019 Australian Grand Prix",83,2,7,69,14,11,16,0,
1011,2019,2,"Bahrain Grand Prix",2019-03-31 00:00:00,"15:10:00","https://en.wikipedia.org/wiki/2019_Bahrain_Grand_Prix",8.5,4,0,"Clear","N","bahrain","2019",1,"2019 Bahrain Grand Prix",190,4,20,42,148,12,6,1,
1012,2019,3,"Chinese Grand Prix",2019-04-14 00:00:00,"6:10:00","https://en.wikipedia.org/wiki/2019_Chinese_Grand_Prix",4.8,3,2,"not found","N","shanghai","2019",1,"2019 Chinese Grand Prix",114,0,12,20,94,8,6,1,
1013,2019,4,"Azerbaijan Grand Prix",2019-04-28 00:00:00,"12:10:00","https://en.wikipedia.org/wiki/2019_Azerbaijan_Grand_Prix",5.4,4,2,"not found","N","BAK","2019",1,"2019 Azerbaijan Grand Prix",152,3,13,37,115,14,4,1,
1014,2019,5,"Spanish Grand Prix",2019-05-12 00:00:00,"13:10:00","https://en.wikipedia.org/wiki/2019_Spanish_Grand_Prix",4.6,2,2,"not found","N","catalunya","2019",1,"2019 Spanish Grand Prix",106,0,10,14,92,10,4,1,
1015,2019,6,"Monaco Grand Prix",2019-05-26 00:00:00,"13:10:00","https://en.wikipedia.org/wiki/2019_Monaco_Grand_Prix",6.3,1,1,"Overcast","N","monaco","2019",1,"2019 Monaco Grand Prix",85,0,7,70,15,8,5,1,
1016,2019,7,"Canadian Grand Prix",2019-06-09 00:00:00,"18:10:00","https://en.wikipedia.org/wiki/2019_Canadian_Grand_Prix",4.4,2,0,"Temperatures reaching up to 29.60C (85.30F); wind speeds negligible[2]","N","villeneuve","2019",1,"2019 Canadian Grand Prix",95,3,13,65,30,10,6,0,
1020,2019,11,"German Grand Prix",2019-07-28 00:00:00,"13:10:00","https://en.wikipedia.org/wiki/2019_German_Grand_Prix",9.4,7,5,"Early rain, Late clouds","Y","hockenheimring","2019",1,"2019 German Grand Prix",260,3,23,47,213,17,29,1,
1022,2019,13,"Belgian Grand Prix",2019-09-01 00:00:00,"13:10:00","https://en.wikipedia.org/wiki/2019_Belgian_Grand_Prix",7.4,4,2,"Partly cloudy","N","spa","2019",1,"2019 Belgian Grand Prix",130,3,12,18,112,10,16,1,
1023,2019,14,"Italian Grand Prix",2019-09-08 00:00:00,"13:10:00","https://en.wikipedia.org/wiki/2019_Italian_Grand_Prix",8.2,3,0,"Partly cloudy","N","monza","2019",1,"2019 Italian Grand Prix",130,2,12,40,90,12,23,1,
1024,2019,15,"Singapore Grand Prix",2019-09-22 00:00:00,"12:10:00","https://en.wikipedia.org/wiki/2019_Singapore_Grand_Prix",6.2,3,2,"Slightly hazy","N","marina_bay","2019",1,"2019 Singapore Grand Prix",177,3,11,64,113,12,12,1,
1025,2019,16,"Russian Grand Prix",2019-09-29 00:00:00,"11:10:00","https://en.wikipedia.org/wiki/2019_Russian_Grand_Prix",5.8,5,2,"Partly cloudy","N","sochi","2019",1,"2019 Russian Grand Prix",97,1,10,14,83,13,3,1,
1026,2019,17,"Japanese Grand Prix",2019-10-13 00:00:00,"5:10:00","https://en.wikipedia.org/wiki/2019_Japanese_Grand_Prix",6.9,3,0,"Sunny","N","suzuka","2019",1,"2019 Japanese Grand Prix",158,4,14,26,132,14,12,0,
1027,2019,18,"Mexican Grand Prix",2019-10-27 00:00:00,"19:10:00","https://en.wikipedia.org/wiki/2019_Mexican_Grand_Prix",6.6,2,0,"Partly cloudy","N","rodriguez","2019",1,"2019 Mexican Grand Prix",155,3,11,34,121,14,8,1,
1028,2019,19,"United States Grand Prix",2019-11-03 00:00:00,"19:10:00","https://en.wikipedia.org/wiki/2019_United_States_Grand_Prix",7,4,0,"Sunny","N","americas","2019",1,"2019 United States Grand Prix",149,4,14,12,137,15,8,0,
1029,2019,20,"Brazilian Grand Prix",2019-11-17 00:00:00,"17:10:00","https://en.wikipedia.org/wiki/2019_Brazilian_Grand_Prix",8.8,4,2,"Sunny","N","interlagos","2019",1,"2019 Brazilian Grand Prix",205,6,20,30,175,14,36,1,
1030,2019,21,"Abu Dhabi Grand Prix",2019-12-01 00:00:00,"13:10:00","https://en.wikipedia.org/wiki/2019_Abu_Dhabi_Grand_Prix",5.6,1,0,"Clear","N","yas_marina","2019",1,"2019 Abu Dhabi Grand Prix",130,0,9,18,112,11,4,0,
